jday,high,low,"Thu,mx","Thu,min",HU,sumHU,frPHU
209,24.9,9,24.9,10,7.45,751.14672,0.625956
210,25.5,11.1,25.5,11.1,8.3,759.44672,0.632872
211,25.1,13.3,25.1,13.3,9.2,768.64672,0.640539
212,28.1,13.4,28.1,13.4,10.75,779.39672,0.649497
213,28,15.6,28,15.6,11.8,791.19672,0.659331
214,25.6,14.4,25.6,14.4,10,801.19672,0.667664
215,26.4,14,26.4,14,10.2,811.39672,0.676164
216,24.5,9.6,24.5,10,7.25,818.64672,0.682206
217,20.3,5.7,20.3,10,5.15,823.79672,0.686497
218,21.1,8.1,21.1,10,5.55,829.34672,0.691122
219,24.2,8,24.2,10,7.1,836.44672,0.697039
220,23.3,11.5,23.3,11.5,7.4,843.84672,0.703206
221,16.2,8.2,16.2,10,3.1,846.94672,0.705789
222,13.6,11.4,13.6,11.4,2.5,849.44672,0.707872
223,18.6,11,18.6,11,4.8,854.24672,0.711872
224,19.5,9.8,19.5,10,4.75,858.99672,0.715831
225,26.4,14.1,26.4,14.1,10.25,869.24672,0.724372
226,20.9,8.5,20.9,10,5.45,874.69672,0.728914
227,24.3,8.9,24.3,10,7.15,881.84672,0.734872
228,24.6,8.6,24.6,10,7.3,889.14672,0.740956
229,26.6,11.1,26.6,11.1,8.85,897.99672,0.748331
230,25,15.2,25,15.2,10.1,908.09672,0.756747
231,24.2,13.6,24.2,13.6,8.9,916.99672,0.764164
232,20.8,14.5,20.8,14.5,7.65,924.64672,0.770539
233,23.6,11.5,23.6,11.5,7.55,932.19672,0.776831
234,25.1,10.6,25.1,10.6,7.85,940.04672,0.783372
235,25.2,11.8,25.2,11.8,8.5,948.54672,0.790456
236,29.1,16.4,29.1,16.4,12.75,961.29672,0.801081
237,30.5,15.2,30,15.2,12.6,973.89672,0.811581
238,27.4,17,27.4,17,12.2,986.09672,0.821747
239,28.1,17.1,28.1,17.1,12.6,998.69672,0.832247
240,26.5,11.4,26.5,11.4,8.95,1007.64672,0.839706
241,23.4,8.1,23.4,10,6.7,1014.34672,0.845289
242,18.1,11.8,18.1,11.8,4.95,1019.29672,0.849414
243,17.7,6.8,17.7,10,3.85,1023.14672,0.852622
244,19.5,4.8,19.5,10,4.75,1027.89672,0.856581
245,17.4,11.8,17.4,11.8,4.6,1032.49672,0.860414
246,19,10.5,19,10.5,4.75,1037.24672,0.864372
247,16.1,10.7,16.1,10.7,3.4,1040.64672,0.867206
248,19.9,13.4,19.9,13.4,6.65,1047.29672,0.872747
249,22.8,8.7,22.8,10,6.4,1053.69672,0.878081
250,23.7,6.3,23.7,10,6.85,1060.54672,0.883789
251,24.6,12.2,24.6,12.2,8.4,1068.94672,0.890789
252,25.8,10.2,25.8,10.2,8,1076.94672,0.897456
253,28.8,15.6,28.8,15.6,12.2,1089.14672,0.907622
254,27.9,14,27.9,14,10.95,1100.09672,0.916747
255,27,13.6,27,13.6,10.3,1110.39672,0.925331
256,29,17.9,29,17.9,13.45,1123.84672,0.936539
257,26.9,18.6,26.9,18.6,12.75,1136.59672,0.947164
258,29.6,20.7,29.6,20.7,15.15,1151.74672,0.959789
259,23.4,15,23.4,15,9.2,1160.94672,0.967456
260,22.8,11.2,22.8,11.2,7,1167.94672,0.973289
